Time,data,Anomaly
1716218624.9232807,4.640625,0
1716218624.932512,4.9375,0
1716218624.9426951,4.54296875,0
1716218624.952458,4.7421875,0
1716218624.9624395,4.640625,0
1716218624.9724803,4.7421875,0
1716218624.9825497,4.4453125,0
1716218624.99274,4.83984375,0
1716218625.0025237,4.7421875,0
1716218625.0125072,4.9375,0
1716218625.0225816,4.7421875,0
1716218625.0329723,4.34375,0
1716218625.0431085,4.9375,0
1716218625.052523,5.13671875,0
1716218625.062535,4.9375,0
1716218625.072517,4.24609375,0
1716218625.0826013,4.83984375,0
1716218625.0927594,4.83984375,0
1716218625.1026962,4.4453125,0
1716218625.1124983,4.640625,0
1716218625.1226315,4.83984375,0
1716218625.1325722,4.83984375,0
1716218625.1428168,4.24609375,0
1716218625.1525664,4.83984375,0
1716218625.1625657,4.640625,0
1716218625.172716,4.83984375,0
1716218625.1825545,4.7421875,0
1716218625.192927,4.7421875,0
1716218625.2026489,4.83984375,0
1716218625.2125847,5.03515625,0
1716218625.2227092,4.54296875,0
1716218625.232582,4.7421875,0
1716218625.2426963,4.7421875,0
1716218625.2526104,4.83984375,0
1716218625.2629175,4.83984375,0
1716218625.2727048,4.640625,0
1716218625.2827263,4.7421875,0
1716218625.293011,4.9375,0
1716218625.3027272,4.83984375,0
1716218625.3127244,5.03515625,0
1716218625.3227654,5.03515625,0
1716218625.3327718,4.640625,0
1716218625.3427267,4.83984375,0
1716218625.352696,4.640625,0
1716218625.3627071,4.83984375,0
1716218625.3728344,4.7421875,0
1716218625.3827102,4.54296875,0
1716218625.393093,4.7421875,0
1716218625.4027994,4.83984375,0
1716218625.4127765,4.83984375,0
1716218625.4227896,4.83984375,0
1716218625.432721,4.9375,0
1716218625.4427445,4.54296875,0
1716218625.452717,4.7421875,0
1716218625.462842,4.640625,0
1716218625.4727216,5.13671875,0
1716218625.4828231,4.9375,0
1716218625.493069,4.7421875,0
1716218625.5027642,4.7421875,0
1716218625.5129516,4.83984375,0
1716218625.5228212,4.7421875,0
1716218625.532742,5.03515625,0
1716218625.542771,4.640625,0
1716218625.5527358,5.13671875,0
1716218625.562824,4.9375,0
1716218625.572858,4.7421875,0
1716218625.582779,4.9375,0
1716218625.5931442,4.4453125,0
1716218625.6027577,5.03515625,0
1716218625.612766,4.54296875,0
1716218625.6229026,4.640625,0
1716218625.632795,4.7421875,0
1716218625.6430984,4.640625,0
1716218625.6530366,4.7421875,0
1716218625.6630096,4.7421875,0
1716218625.6730835,4.83984375,0
1716218625.6831262,4.640625,0
1716218625.6933594,4.54296875,0
1716218625.7029066,4.83984375,0
1716218625.7130542,4.7421875,0
1716218625.722959,4.4453125,0
1716218625.7331214,4.83984375,0
1716218625.7430198,4.640625,0
1716218625.7528872,4.83984375,0
1716218625.763271,4.83984375,0
1716218625.772912,4.9375,0
1716218625.78304,4.640625,0
1716218625.7934074,4.4453125,0
1716218625.8029218,5.03515625,0
1716218625.812956,4.640625,0
1716218625.8230584,5.03515625,0
1716218625.8330665,4.54296875,0
1716218625.8432906,4.54296875,0
1716218625.8532586,4.83984375,0
1716218625.8629425,4.7421875,0
1716218625.873156,4.9375,0
1716218625.8829167,4.9375,0
1716218625.893267,4.7421875,0
1716218625.9032135,4.9375,0
1716218625.91327,4.83984375,0
1716218625.9229848,4.640625,0
1716218625.933309,4.54296875,0
1716218625.9431188,4.7421875,0
1716218625.953009,4.83984375,0
1716218625.9630775,5.13671875,0
1716218625.9774027,4.640625,0
1716218625.9829912,4.83984375,0
1716218625.9932516,4.83984375,0
1716218626.0031066,4.7421875,0
1716218626.0130603,4.7421875,0
1716218626.0230143,4.7421875,0
1716218626.033032,4.34375,0
1716218626.043004,4.640625,0
1716218626.0530598,5.03515625,0
