Time,data
1715271925.094556,0.88671875
1715271925.104734,0.88671875
1715271925.1150227,0.39453125
1715271925.1251156,0.69140625
1715271925.1356685,0.4921875
1715271925.145492,0.69140625
1715271925.155682,0.39453125
1715271925.1658177,0.7890625
1715271925.1759777,0.39453125
1715271925.1861482,0.984375
1715271925.196067,0.7890625
1715271925.206372,0.7890625
1715271925.2164028,0.69140625
1715271925.2269688,0.39453125
1715271925.2369838,0.69140625
1715271925.2469695,0.7890625
1715271925.256996,0.69140625
1715271925.267173,0.88671875
1715271925.277419,0.984375
1715271925.2878962,0.69140625
1715271925.2976296,0.7890625
1715271925.3078644,0.69140625
1715271925.31824,0.69140625
1715271925.3288352,0.58984375
1715271925.3388393,0.58984375
1715271925.348552,0.7890625
1715271925.3587909,0.7890625
1715271925.369286,0.58984375
1715271925.3790438,0.39453125
1715271925.3897645,0.69140625
1715271925.3994198,0.88671875
1715271925.4095693,0.69140625
1715271925.419784,0.7890625
1715271925.430523,0.69140625
1715271925.4403734,0.88671875
1715271925.4503407,0.7890625
1715271925.4604654,0.88671875
1715271925.4708276,0.7890625
1715271925.4809382,0.984375
1715271925.4915671,1.0859375
1715271925.5011642,0.58984375
1715271925.5116167,0.58984375
1715271925.521578,0.88671875
1715271925.5327318,0.88671875
1715271925.5421314,0.58984375
1715271925.5520916,0.58984375
1715271925.5623171,0.88671875
1715271925.572549,0.984375
1715271925.582794,0.7890625
1715271925.593091,0.7890625
1715271925.603112,0.58984375
1715271925.6134841,0.88671875
1715271925.6235118,0.4921875
1715271925.6347973,0.7890625
1715271925.6440654,0.39453125
1715271925.654119,0.7890625
1715271925.6644418,0.58984375
1715271925.6745083,0.4921875
1715271925.6846313,0.39453125
1715271925.6949692,0.4921875
1715271925.705011,0.69140625
1715271925.7151663,0.4921875
1715271925.7253518,0.984375
1715271925.7365148,0.88671875
1715271925.745703,0.88671875
1715271925.7563288,0.7890625
1715271925.7660527,0.88671875
1715271925.776865,0.7890625
1715271925.786849,0.58984375
1715271925.797314,0.7890625
1715271925.8072233,0.7890625
1715271925.8166175,0.984375
1715271925.826865,0.58984375
1715271925.8369744,0.69140625
1715271925.8471158,0.69140625
1715271925.857259,0.7890625
1715271925.8674781,0.4921875
1715271925.8777375,1.0859375
1715271925.8880427,0.984375
1715271925.8990488,0.4921875
1715271925.9083505,1.0859375
1715271925.9192088,0.7890625
1715271925.9293308,0.58984375
1715271925.9387393,0.69140625
1715271925.9489462,0.88671875
1715271925.9590435,0.7890625
1715271925.9692414,0.4921875
1715271925.9794307,0.58984375
1715271925.990005,0.69140625
1715271926.0011494,0.69140625
1715271926.0100753,0.29296875
1715271926.0204856,0.58984375
1715271926.0305436,0.7890625
1715271926.0407789,0.4921875
1715271926.0507991,0.69140625
1715271926.0609608,0.58984375
1715271926.0711849,0.58984375
1715271926.0813406,0.7890625
1715271926.0916867,0.58984375
1715271926.1017268,0.984375
1715271926.1117663,0.7890625
1715271926.1219604,0.7890625
1715271926.1321788,0.4921875
1715271926.1422508,0.7890625
1715271926.1526856,0.7890625
1715271926.1624618,0.88671875
1715271926.1727738,0.7890625
1715271926.1829796,0.69140625
1715271926.1934202,0.69140625
1715271926.2031214,0.58984375
1715271926.2131264,0.7890625
1715271926.223294,0.7890625
1715271926.2333589,0.4921875
1715271926.2436209,0.7890625
1715271926.253767,0.7890625
1715271926.264001,0.7890625
1715271926.274271,0.7890625
1715271926.2843266,0.69140625
1715271926.2943153,0.984375
1715271926.3047276,1.0859375
1715271926.3145227,0.58984375
1715271926.3246713,0.58984375
1715271926.3349051,0.69140625
1715271926.3450592,0.88671875
1715271926.3551846,0.7890625
1715271926.3653553,0.39453125
1715271926.375683,0.7890625
1715271926.3856354,0.7890625
1715271926.3957512,0.58984375
1715271926.406249,0.7890625
1715271926.416132,0.69140625
1715271926.4262812,0.984375
1715271926.4363697,0.88671875
1715271926.4465566,0.69140625
1715271926.4567351,0.7890625
1715271926.4668374,0.7890625
1715271926.4771519,0.7890625
1715271926.4871743,0.58984375
1715271926.4973555,0.58984375
1715271926.5078917,0.39453125
1715271926.517644,0.69140625
1715271926.5278442,0.58984375
1715271926.5379465,0.4921875
1715271926.5481064,0.69140625
1715271926.5582151,0.7890625
1715271926.568555,0.7890625
1715271926.5785785,0.7890625
1715271926.5887873,0.7890625
1715271926.5989563,0.4921875
1715271926.609266,0.69140625
1715271926.6191704,0.69140625
