Time,data,Anomaly
1716213923.8724396,1.18359375,0
1716213923.881902,0.88671875,0
1716213923.892101,1.0859375,0
1716213923.9020083,0.984375,0
1716213923.9120011,0.7890625,0
1716213923.922206,0.7890625,0
1716213923.9319634,1.3828125,0
1716213923.942201,0.7890625,0
1716213923.9520793,0.984375,0
1716213923.9620247,0.984375,0
1716213923.972017,1.18359375,0
1716213923.9820466,0.984375,0
1716213923.9920323,1.0859375,0
1716213924.0021594,1.0859375,0
1716213924.0121486,1.0859375,0
1716213924.0220895,0.984375,0
1716213924.0321712,1.18359375,0
1716213924.042389,0.69140625,0
1716213924.0522048,0.984375,0
1716213924.0620964,1.18359375,0
1716213924.0723486,0.88671875,0
1716213924.0821166,1.0859375,0
1716213924.0921657,1.0859375,0
1716213924.1023028,1.0859375,0
1716213924.112204,0.984375,0
1716213924.1221795,0.7890625,0
1716213924.132207,1.18359375,0
1716213924.142481,0.984375,0
1716213924.152308,1.18359375,0
1716213924.1623132,1.0859375,0
1716213924.1722662,1.28125,0
1716213924.1825163,1.18359375,0
1716213924.192399,1.28125,0
1716213924.2024682,1.48046875,0
1716213924.2122886,0.984375,0
1716213924.2223372,1.18359375,0
1716213924.232302,1.18359375,0
1716213924.2427864,0.7890625,0
1716213924.2524045,1.18359375,0
1716213924.2625372,1.48046875,0
1716213924.2723432,1.18359375,0
1716213924.282374,1.18359375,0
1716213924.292452,1.48046875,0
1716213924.302526,1.28125,0
1716213924.3124964,1.18359375,0
1716213924.3224175,0.984375,0
1716213924.3325777,1.48046875,0
1716213924.3427303,1.18359375,0
1716213924.3524392,1.18359375,0
1716213924.3624842,1.18359375,0
1716213924.3727088,0.984375,0
1716213924.3825405,0.984375,0
1716213924.3924828,1.18359375,0
1716213924.4026113,0.88671875,0
1716213924.4125054,1.28125,0
1716213924.4225438,0.984375,0
1716213924.43282,0.7890625,0
1716213924.443285,1.0859375,0
1716213924.4525683,1.18359375,0
1716213924.4626324,1.3828125,0
1716213924.4727435,0.7890625,0
1716213924.4825995,0.984375,0
1716213924.4927511,1.18359375,0
1716213924.5026343,1.28125,0
1716213924.5126317,1.28125,0
1716213924.5226283,1.28125,0
1716213924.532647,0.984375,0
1716213924.5429614,1.28125,0
1716213924.5529535,1.18359375,0
